Last Check: 2026-02-22 15:49:01
Found Alive: 2926
Status: Active (Mega Pulse)[2026-02-22 17:51:59] Found: 3563 | Skipped: 6013 | Cycle: Active
[2026-02-22 17:56:50] Found: 3683 | Skipped: 6043 | Cycle: Active
[2026-02-22 18:14:58] Found: 3694 | Skipped: 6037 | Cycle: Active
[2026-02-22 18:22:37] Found: 3695 | Skipped: 6025 | Cycle: Active
[2026-02-22 18:24:51] Найдено: 3695 | Отфильтровано (кэш): 6013
[2026-02-22 18:32:35] Найдено: 3700 | Отфильтровано (кэш): 5987
[2026-02-22 18:36:32] Найдено: 3696 | Отфильтровано (кэш): 5990
[2026-02-28 20:16:33] Alive: 439 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 8 | Wrong_Geo: 2619
[2026-02-28 21:13:28] Alive: 439 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 8 | Wrong_Geo: 2619
[2026-02-28 22:14:50] Alive: 439 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 8 | Wrong_Geo: 2619
[2026-02-28 23:14:37] Alive: 439 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 8 | Wrong_Geo: 2619
[2026-03-01 01:25:51] Alive: 439 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 8 | Wrong_Geo: 2619
[2026-03-01 04:14:57] Alive: 425 | Dead: 1936 | Cache_Hit: 133 | DNS_Fail: 9 | Wrong_Geo: 2698
[2026-03-01 05:45:17] Alive: 425 | Dead: 2 | Cache_Hit: 2494 | DNS_Fail: 11 | Wrong_Geo: 2694
[2026-03-01 06:35:55] Alive: 425 | Dead: 0 | Cache_Hit: 2496 | DNS_Fail: 9 | Wrong_Geo: 2696
[2026-03-01 07:27:27] Alive: 425 | Dead: 0 | Cache_Hit: 2496 | DNS_Fail: 9 | Wrong_Geo: 2696
[2026-03-01 08:21:42] Alive: 418 | Dead: 2 | Cache_Hit: 2483 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 09:22:11] Alive: 418 | Dead: 0 | Cache_Hit: 2491 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 10:17:29] Alive: 418 | Dead: 0 | Cache_Hit: 2491 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 11:13:48] Alive: 418 | Dead: 0 | Cache_Hit: 2491 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 12:30:11] Alive: 410 | Dead: 0 | Cache_Hit: 2480 | DNS_Fail: 8 | Wrong_Geo: 2653
[2026-03-01 13:34:02] Alive: 410 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2653
[2026-03-01 14:17:28] Alive: 410 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2653
[2026-03-01 15:15:11] Alive: 410 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2653
[2026-03-01 16:18:17] Alive: 419 | Dead: 0 | Cache_Hit: 2486 | DNS_Fail: 8 | Wrong_Geo: 2675
[2026-03-01 17:16:08] Alive: 419 | Dead: 0 | Cache_Hit: 2491 | DNS_Fail: 8 | Wrong_Geo: 2675
[2026-03-01 18:22:10] Alive: 419 | Dead: 0 | Cache_Hit: 2491 | DNS_Fail: 8 | Wrong_Geo: 2675
[2026-03-01 19:17:46] Alive: 419 | Dead: 0 | Cache_Hit: 2491 | DNS_Fail: 8 | Wrong_Geo: 2675
